Start station,Start time,End station,End time
291,2016-09-01 19:56:29 +0200,226,2016-09-01 20:01:47 +0200
273,2016-09-01 20:02:24 +0200,291,2016-09-01 20:07:52 +0200
291,2016-09-01 20:09:03 +0200,267,2016-09-01 20:32:25 +0200
291,2016-09-01 20:17:19 +0200,232,2016-09-01 20:25:27 +0200
232,2016-09-01 20:24:45 +0200,291,2016-09-01 20:34:52 +0200
291,2016-09-01 20:28:42 +0200,176,2016-09-01 20:41:41 +0200
227,2016-09-01 20:32:59 +0200,291,2016-09-01 23:52:04 +0200
291,2016-09-01 20:36:37 +0200,198,2016-09-01 21:07:27 +0200
291,2016-09-01 20:36:58 +0200,198,2016-09-01 21:07:09 +0200
291,2016-09-01 20:46:12 +0200,200,2016-09-01 20:59:26 +0200
291,2016-09-01 20:48:54 +0200,267,2016-09-01 20:51:54 +0200
291,2016-09-01 21:00:20 +0200,227,2016-09-01 21:03:16 +0200
291,2016-09-01 21:06:38 +0200,288,2016-09-01 21:13:58 +0200
291,2016-09-01 21:19:58 +0200,167,2016-09-01 21:24:44 +0200
267,2016-09-01 21:28:19 +0200,291,2016-09-01 21:33:26 +0200
291,2016-09-01 21:39:18 +0200,268,2016-09-01 21:43:17 +0200
291,2016-09-01 21:39:41 +0200,268,2016-09-01 21:42:05 +0200
174,2016-09-01 21:43:15 +0200,291,2016-09-01 22:00:41 +0200
291,2016-09-01 21:50:55 +0200,253,2016-09-01 22:08:36 +0200
291,2016-09-01 22:21:44 +0200,157,2016-09-01 22:33:14 +0200
291,2016-09-01 22:25:49 +0200,163,2016-09-01 22:40:38 +0200
291,2016-09-01 22:33:28 +0200,228,2016-09-01 22:36:07 +0200
267,2016-09-01 22:59:56 +0200,291,2016-09-01 23:05:31 +0200
232,2016-09-01 23:02:34 +0200,291,2016-09-01 23:15:55 +0200
267,2016-09-01 23:09:10 +0200,291,2016-09-01 23:14:04 +0200
237,2016-09-01 23:14:22 +0200,291,2016-09-01 23:31:03 +0200
291,2016-09-01 23:15:44 +0200,287,2016-09-01 23:24:58 +0200
291,2016-09-01 23:56:58 +0200,241,2016-09-02 00:11:47 +0200
267,2016-09-01 23:59:16 +0200,291,2016-09-02 00:02:51 +0200
291,2016-09-02 06:02:41 +0200,267,2016-09-02 06:06:53 +0200
291,2016-09-02 06:12:11 +0200,267,2016-09-02 06:15:15 +0200
237,2016-09-02 07:03:08 +0200,291,2016-09-02 07:11:29 +0200
267,2016-09-02 07:04:07 +0200,291,2016-09-02 07:11:15 +0200
291,2016-09-02 07:14:00 +0200,273,2016-09-02 07:20:31 +0200
291,2016-09-02 07:14:36 +0200,208,2016-09-02 07:20:46 +0200
161,2016-09-02 07:32:28 +0200,291,2016-09-02 07:36:04 +0200
291,2016-09-02 07:38:06 +0200,184,2016-09-02 07:45:30 +0200
161,2016-09-02 07:39:54 +0200,291,2016-09-02 07:42:45 +0200
198,2016-09-02 07:40:12 +0200,291,2016-09-02 07:46:21 +0200
291,2016-09-02 07:41:45 +0200,181,2016-09-02 07:50:31 +0200
291,2016-09-02 07:44:44 +0200,294,2016-09-02 07:52:26 +0200
291,2016-09-02 07:45:09 +0200,227,2016-09-02 07:47:49 +0200
291,2016-09-02 07:48:35 +0200,184,2016-09-02 07:55:50 +0200
291,2016-09-02 07:48:44 +0200,164,2016-09-02 07:54:23 +0200
291,2016-09-02 07:49:08 +0200,299,2016-09-02 07:59:36 +0200
161,2016-09-02 07:50:45 +0200,291,2016-09-02 07:54:35 +0200
291,2016-09-02 07:50:58 +0200,268,2016-09-02 07:55:07 +0200
291,2016-09-02 07:51:14 +0200,179,2016-09-02 08:50:02 +0200
291,2016-09-02 07:53:49 +0200,280,2016-09-02 08:17:46 +0200
291,2016-09-02 07:56:04 +0200,218,2016-09-02 08:07:12 +0200
291,2016-09-02 07:56:21 +0200,292,2016-09-02 08:07:52 +0200
291,2016-09-02 07:56:50 +0200,252,2016-09-02 08:12:28 +0200
